"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"86",86,"Mathematical Statistics","07/01/1969","06/30/1970",46500,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/27/1969","06/27/1969",6900843,"Jeremy","Taylor","07/01/1969","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,2173332187,1262,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"Statistical Mechanics and Solid State Physics","05/01/1969","11/30/1970",35000,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/23/1969","06/23/1969",6900844,"Joseph","DATA NOT AVAILABLE","05/01/1969","Principal Investigator","Cornell University","Ithaca",148502820,"373 Pine Tree Road","United States","New York","NY",NA,"Merklin","05/01/1969","Co-Principal Investigator",6072555014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,"Borane Chemistry","11/01/1969","10/31/1971",30600,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","10/17/1969","10/17/1969",6900845,"Neil","Miller","11/01/1969","Principal Investigator","University of South Dakota Main Campus","Vermillion",570692307,"414 E CLARK ST","United States","South Dakota","SD",NA,NA,NA,NA,6056775370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,NA,"01/01/1900","01/01/1900",0,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,6900868,"May Beth","Givan","01/01/1900","Principal Investigator","California Institute of Technology","PASADENA",911250600,"1200 E California Blvd","United States","California","CA",NA,NA,NA,NA,6263956219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"Atomic and Molecular Structure","06/01/1969","05/31/1970",52300,"Continuing grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/16/1969","06/16/1969",6900876,"H.Eugene","Shull","06/01/1969","Principal Investigator","Indiana University Foundation (CONTACT DGC||||||)","Bloomington",47405,NA,"United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"Nuclear Excitation By Low Energy Electrons and Photons","04/01/1970","04/30/1976",186700,"Standard Grant",3010400,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","04/07/1970","08/18/1975",6900915,"Benson","Chertok","04/01/1970","Principal Investigator","American University","Washington",200168001,"4400 Massachusetts Avenue, NW","United States","District of Columbia","DC","Ronald","Adler","04/01/1970","Co-Principal Investigator",2028853440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"Interdisciplinary Program on Science, Technology and Society","07/01/1969","06/30/1971",140000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/19/1969","06/19/1969",6900936,"Jeremy","Taylor","07/01/1969","Principal Investigator","Cornell University","Ithaca",148502820,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,6072555014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"A Re-Investigation of the Moro Movement of Guadalcanal, British Solomon Islands Protectorate","03/01/1969","06/30/1973",3500,"Standard Grant",4040000,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","02/12/1969","02/12/1969",6900940,"Gulbun","O'Connor","03/01/1969","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"Specification of Simultaneous Equation Models","02/01/1969","09/30/1970",12500,"Standard Grant",4040000,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","01/10/1969","01/10/1969",6900941,"Jeremy","Taylor","02/01/1969","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,6172531000,1320,"ECONOMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"International Linkage of National Econometric Models","07/01/1969","06/30/1973",236900,"Standard Grant",4040600,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","06/30/1969","09/01/1971",6900972,"R.","Gordon","07/01/1969","Co-Principal Investigator","Social Science Research Council","Brooklyn",112010000,"One Pierrepont Plaza","United States","New York","NY","Bert","Hickman","07/01/1969","Principal Investigator",2123772700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"The Prehistoric Cave Site of Tabun","09/01/1969","12/31/1976",122000,"Standard Grant",4040400,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","07/14/1969","05/19/1975",6900978,NA,"DATA NOT AVAILABLE","09/01/1969","Principal Investigator","University of Arizona","Tucson",857194824,"888 N Euclid Ave","United States","Arizona","AZ",NA,NA,NA,NA,5206266000,1310,"ANTHROPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"Departmental Science Development in Chemistry","09/01/1969","08/31/1972",500000,"Standard Grant",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","05/23/1969","05/23/1969",6901031,"Jeremy","Taylor","09/01/1969","Principal Investigator","University of South Carolina at Columbia","COLUMBIA",292080001,"Sponsored Awards Management","United States","South Carolina","SC",NA,NA,NA,NA,8037777093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"Departmental Science Development-Civil Engineering","03/05/1970","03/31/1975",600000,"Standard Grant",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","03/05/1970","03/05/1970",6901045,"Jeremy","Taylor","03/05/1970","Principal Investigator","Colorado State University","Fort Collins",805232002,"601 S Howes St","United States","Colorado","CO",NA,NA,NA,NA,9704916355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"Science Development Program in Geoscience-Mineral Resources","04/30/1970","04/30/1973",700000,"Standard Grant",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","04/30/1970","10/08/1975",6901048,"Jeremy","Taylor","04/30/1970","Principal Investigator","Colorado School of Mines","Golden",804011887,"1500 Illinois","United States","Colorado","CO",NA,NA,NA,NA,3032733000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"Science Development Plan","09/15/1970","08/31/1976",525000,"Standard Grant",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","09/15/1970","12/03/1974",6901049,"Jeremy","Taylor","09/15/1970","Principal Investigator","SUNY at Albany","Albany",122220100,"1400 WASHINGTON AVE","United States","New York","NY",NA,NA,NA,NA,5184374550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"Science Development in Chemistry","09/15/1970","09/30/1976",562000,"Standard Grant",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","09/15/1970","05/14/1975",6901050,"Jeremy","Taylor","09/15/1970","Principal Investigator","Emory University","Atlanta",303224250,"1599 Clifton Rd NE, 4th Floor","United States","Georgia","GA",NA,NA,NA,NA,4047272503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"The Intermediate Science Curriculum Study Project","02/01/1969","06/30/1978",1516300,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","04/03/1969","08/15/1977",6901059,"William","Snyder","02/01/1969","Co-Principal Investigator","Florida State University","TALLAHASSEE",323064166,"874 Traditions Way, 3rd Floor","United States","Florida","FL",NA,"DATA NOT AVAILABLE","02/01/1969","Principal Investigator",8506445260,7311,"CAR SEC RES PERS WKSH LPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"Leadership Conference on the Earth Science Curriculum Project","07/01/1969","06/30/1970",46000,"Standard Grant",5010100,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","05/01/1969","05/01/1969",6901061,"Jeremy","Taylor","07/01/1969","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,3014056269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,"Student Science Seminar Project","06/17/1969","01/31/1971",6724,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","06/17/1969","06/17/1969",6901064,"Jeremy","Taylor","06/17/1969","Principal Investigator","Kansas Academy of Science","Dodge City",66801,NA,"United States","Kansas","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,"A School Year Science Investigation Project","07/01/1969","08/31/1970",15960,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","06/03/1969","06/03/1969",6901065,"Jeremy","Taylor","07/01/1969","Principal Investigator","Oregon Museum of Science and Industry","Portland",972143354,"1945 SE WATER AVE","United States","Oregon","OR",NA,NA,NA,NA,5037974681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"Secondary School Mathematics Curriculm Improvement Study","07/17/1969","02/28/1978",681698,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","07/17/1969","02/08/1977",6901067,"Howard","Fehr","07/17/1969","Principal Investigator","Teachers College, Columbia University","New York",100276625,"525 West 120th Street","United States","New York","NY",NA,NA,NA,NA,2126783000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,"Course Cont Impvmnt,elem Sch-Interdisc & Other Unified Science and Mathematics Materials For Elementary Schools","01/21/1970","06/30/1978",3363194,"GAA",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/21/1970","08/19/1977",6901071,"Earle","Lomon","01/21/1970","Principal Investigator","Education Development Center","Waltham",24538313,"43 Foundry Avenue","United States","Massachusetts","MA",NA,NA,NA,NA,6176182227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"A Secondary School Course, 'exploring Human Nature'","02/15/1970","12/31/1977",2535990,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","02/27/1970","05/27/1977",6901072,"Karen","Cohen","02/15/1970","Co-Principal Investigator","Education Development Center","Waltham",24538313,"43 Foundry Avenue","United States","Massachusetts","MA","Anita","Gil","02/15/1970","Principal Investigator",6176182227,7210,"CAR SEC SCHL PROG MAT NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7240,"LIT SEC SCHL PROG MAT NL",7310,"BE: CARBON & WATER IN ES",NA,7311,"CAR SEC RES PERS WKSH LPY",NA,NA,NA,NA,NA,NA
"109",109,"Brookhaven Semester Program For Students and Faculty MembersFrom Developing Colleges and Universities","05/05/1969","08/31/1970",45760,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/05/1969","05/05/1969",6901080,"Jeremy","Taylor","05/05/1969","Principal Investigator","Grambling State University","Grambling",712452715,"P.O.Drawer 607","United States","Louisiana","LA",NA,NA,NA,NA,3182746117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"Instructional Scientific Equipment Program","07/01/1969","07/31/1972",3000,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","05/22/1969","05/22/1969",6901081,"Jeremy","Taylor","07/01/1969","Principal Investigator","Langston University","Langston",730500907,"Box 907","United States","Oklahoma","OK",NA,NA,NA,NA,4054663201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"Instructional Scientific Equipment Program","07/01/1969","07/31/1971",7300,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/22/1969","05/22/1969",6901082,"Jeremy","Taylor","07/01/1969","Principal Investigator","Southwestern Oklahoma State University","Weatherford",730963001,"100 Campus Drive","United States","Oklahoma","OK",NA,NA,NA,NA,5807747010,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"Instructional Scientific Equipment Program","07/01/1969","07/31/1971",9800,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/22/1969","05/22/1969",6901084,"Jeremy","Taylor","07/01/1969","Principal Investigator","Washington and Jefferson College","Washington",153014801,"60 South Lincoln St","United States","Pennsylvania","PA",NA,NA,NA,NA,7245031070,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"Instructional Scientific Equipment Program","07/01/1969","07/31/1971",8300,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/22/1969","05/22/1969",6901095,"Jeremy","Taylor","07/01/1969","Principal Investigator","Talladega College","Talladega",351602354,"627 W Battle Street","United States","Alabama","AL",NA,NA,NA,NA,2567616205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"Visiting Scientists Program (College)","07/01/1969","06/30/1970",14000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","05/23/1969","05/23/1969",6901096,"Jeremy","Taylor","07/01/1969","Principal Investigator","American Institute of Biological Sciences","McLean",221013926,"1313 Dolley Madison Blvd.","United States","Virginia","VA",NA,NA,NA,NA,7036742500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"Instructional Scientific Equipment Program","07/01/1969","07/31/1971",2500,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/22/1969","05/22/1969",6901100,"Jeremy","Taylor","07/01/1969","Principal Investigator","Monmouth University","West Long Branch",77641898,"400 Cedar Avenue","United States","New Jersey","NJ",NA,NA,NA,NA,7325714491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"College Science Improvement Program","09/01/1969","02/28/1973",92900,"Standard Grant",5020200,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/27/1969","06/27/1969",6901105,"Ann","Infanger","09/01/1969","Principal Investigator","Seton Hill College","Greensburg",15601,NA,"United States","Pennsylvania","PA",NA,NA,NA,NA,4128342200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,"College Science Improvement Program","09/01/1969","01/31/1973",122900,"Standard Grant",5020200,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/27/1969","06/27/1969",6901111,"Jeremy","Taylor","09/01/1969","Principal Investigator","Canisius College","Buffalo",142081098,"2001 Main Street","United States","New York","NY",NA,NA,NA,NA,7168882103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"Study of Engineering Technology Education","06/30/1969","06/30/1972",129250,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/30/1969","06/30/1969",6901114,"Jeremy","Taylor","06/30/1969","Principal Investigator","American Society For Engineering Education","WASHINGTON",200362476,"1818 N ST NW STE 600","United States","District of Columbia","DC",NA,NA,NA,NA,2023313500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"Documentary Film Project- the Peasant World","05/11/1971","09/30/1974",509190,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/11/1971","01/14/1976",6901132,"W.","DATA NOT AVAILABLE","05/11/1971","Co-Principal Investigator","American Universities Field Staff","Hanover",3755,NA,"United States","New Hampshire","NH","Norman","Ridley","05/11/1971","Co-Principal Investigator",NA,NA,NA,"Dennis","Miller","05/11/1971","Principal Investigator","Hayes","05/11/1971","Co-Principal Investigator","Lawrence","05/11/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,"James",NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"Pest Population Ecology- an Inter-University Training Program","07/01/1969","08/31/1975",184135,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","05/27/1969","11/20/1974",6901140,"Jeremy","Taylor","07/01/1969","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,5106428109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"Standard Geographic Nomenclature in the Antarctic For United States Use","08/11/1969","09/30/1978",91275,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/11/1969","09/15/1977",6901151,"Namara,","Mac","08/11/1969","Principal Investigator","Department of Army Corps of Engineers","Washington",20315,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,5117,"GEODESY & CARTOGRAPHY(US ANTAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,"Task Order For Preparation of a New Map of Antarctica, Scale 1:5,000,000 in One Sheet in Three Colors","06/01/1969","02/28/1970",28500,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","04/06/1971",6901156,"Miklos","Pinther","06/01/1969","Principal Investigator","American Geographical Society","Brooklyn",112014404,"32 Court Street","United States","New York","NY",NA,NA,NA,NA,7186242212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"Project Leadermart","08/22/1969","06/30/1972",967500,"Continuing grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","08/22/1969","06/02/1972",6901162,"Donald","Hillman","08/22/1969","Principal Investigator","Lehigh University","Bethlehem",180153005,"Alumni Building 27","United States","Pennsylvania","PA",NA,NA,NA,NA,6107583021,6600,"BEHAVIORAL ASPECTS OF INFO TRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6620,"DATA SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"Rations Furnished Usarp Personnel","04/29/1969","09/30/1978",482900,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","04/29/1969","01/09/1978",6901177,"Allan","Davis","04/29/1969","Principal Investigator","Naval Weapons Center Navy Subsistence Office","Arlington",20350,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,5122,"EARTH SCIENCES (RESOURCES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5143,"SUBSISTENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"U. S. National Committee For the International Union of PUre and Applied Physics","06/01/1969","12/31/1973",12515,"BOA/Task Order",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","06/04/1969","01/01/1973",6901182,"Hugh","Odishaw","06/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,"CONTRACT FOR SYSTEMS STUDIES, SYSTEMS ANALYSIS, SYSTEMS DESIGN, PROGRAMMING, KEYPUNCHING, SYSTEMS AND OPERATING DOCUMENTATION, INITIAL MONITORING OF","02/13/1969","08/31/1971",1050,"BOA/Task Order",NA,NA,NA,"name not available","02/13/1969","02/13/1969",6901188,NA,NA,"02/13/1969","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE"
"127",127,"CONTRACT FOR SYSTEMS STUDIES, SYSTEMS ANALYSIS, SYSTEMS DESIGN, PROGRAMMING, KEYPUNCHING, SYSTEMS AND OPERATING DOCUMENTATION AND OTHER RELATED SERVICES","02/13/1969","08/31/1971",1050,"BOA/Task Order",NA,NA,NA,"name not available","02/13/1969","02/13/1969",6901189,NA,NA,"02/13/1969","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE"
"128",128,"Contract For a Study of the Use of Sampling in Surveys Of Scientific and Technical Personnel","06/30/1969","10/31/1970",53442,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","02/10/1975",6901193,"Edward","Bryant","06/30/1969","Principal Investigator","Westat Inc","Rockville",208500319,"1600 RESEARCH BLVD","United States","Maryland","MD",NA,NA,NA,NA,3012511500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"Contract For Operation and Maintenance of the Biological Sciences Section of the National Register of ScientifIc and Technical Personnel","09/24/1969","09/30/1970",80311,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","09/24/1969","09/24/1969",6901194,".","None","09/24/1969","Principal Investigator","American Institute of Biological Sciences","McLean",221013926,"1313 Dolley Madison Blvd.","United States","Virginia","VA",NA,NA,NA,NA,7036742500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"A Program of Research and Development in Computer-Assisted Instruments- a Study of Instrument Design and Response Systems For Computer-Based Tutorials","06/18/1969","12/31/1973",211300,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","06/20/1969","12/24/1974",6901197,"May Beth","Givan","06/18/1969","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX","Harold","O'Neil","06/18/1969","Co-Principal Investigator",5124716424,NA,NA,"Robert","Simmons","06/18/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
