"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"1359",1359,"Computer Aided Injection Molding System","07/01/1974","12/31/1979",541100,"Standard Grant",7000000,"Directorate For Engineering","name not available","08/14/1974","03/07/1979",7411490,"S.","Shen","07/01/1974","Co-Principal Investigator","Cornell University","Ithaca",148502820,6072555014,"373 Pine Tree Road","United States","New York","NY","Directorate For Engineering",NA,NA,"James","Stevenson","07/01/1974","Co-Principal Investigator",NA,NA,"Kuo","Wang","07/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360",1360,"Elementary Particle Theory and Quantum Field Theory","05/01/1974","10/31/1976",119500,"Continuing grant",3010500,"Direct For Mathematical & Physical Scien","name not available","05/28/1974","02/10/1975",7411491,"Oscar","Greenberg","05/01/1974","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,3014056269,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD","Division Of Physics",NA,NA,"Jogesh","Pati","05/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361",1361,"Studies in the Physical Chemistry of Selected High Temperature Systems","06/01/1974","11/30/1977",177000,"Continuing grant",3090108,"Direct For Mathematical & Physical Scien","name not available","04/05/1974","04/20/1976",7411493,"John","Margrave","06/01/1974","Principal Investigator","William Marsh Rice University","Houston",770051827,7133484820,"6100 MAIN ST","United States","Texas","TX","Division Of Chemistry",1918,"CHEMICAL THERMODYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362",1362,"Research on Measurements and Control of Particulate Formation in Flames","06/01/1974","11/30/1978",104000,"Standard Grant",7020000,"Directorate For Engineering","name not available","04/30/1974","05/17/1976",7411494,"Stanford","Penner","06/01/1974","Principal Investigator","University of California-San Diego","La Jolla",920930621,8585344896,"Office of Contract & Grant Admin","United States","California","CA","Div Of Chem, Bioeng, Env, & Transp Sys",1406,"THERMAL TRANSPORT PROCESSES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363",1363,"Spin-Spin Coupling in Magnetically Condensed Complexes","07/01/1974","12/31/1977",81200,"Continuing grant",3090106,"Direct For Mathematical & Physical Scien","name not available","03/22/1974","04/09/1976",7411495,"William","Hatfield","07/01/1974","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC","Division Of Chemistry",1916,"STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1364",1364,"Nonrigid Pentacoordinate Phosphorus Compounds; a Model For Enzymic Hydrolysis","11/15/1974","09/30/1978",96600,"Continuing grant",3090106,"Direct For Mathematical & Physical Scien","name not available","11/19/1974","06/29/1978",7411496,"Robert","Holmes","11/15/1974","Principal Investigator","University of Massachusetts Amherst","Hadley",10359450,4135450698,"Research Administration Building","United States","Massachusetts","MA","Division Of Chemistry",1916,"STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1365",1365,"Kinetics of Phase Transformations in Mineral Systems","01/01/1900","01/01/1900",77300,"Standard Grant",6030002,"Directorate For Geosciences","name not available","05/20/1974","05/20/1974",7411500,"James","Hays","01/01/1900","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA","Division Of Earth Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366",1366,"Revision of Certain Tribes of the Subfamily Aleocharinae (Coleoptera)","06/01/1974","11/30/1979",75036,"Continuing grant",8010207,"Direct For Biological Sciences","name not available","04/12/1974","05/03/1978",7411505,"David","Kistner","06/01/1974","Principal Investigator","California State University-Chico","Chico",959290001,9168956116,"1st and Normal Streets","United States","California","CA","Division Of Environmental Biology",1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367",1367,"S & T Ata Resources Inventory","05/31/1974","06/30/1976",72700,"Interagency Agreement",5020000,"Direct For Computer & Info Scie & Enginr","name not available","05/31/1974","05/28/1976",7411509,"Robert","Jaxel","05/31/1974","Principal Investigator","Department of Commerce","Arlington",22201,7035880851,"Ocean.US 2300 Clarendon Blvd.","United States","Virginia","VA","Div Of Information & Intelligent Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",1368,"Nature of Chloroplast Membranes and Reaction Centers","02/01/1974","08/31/1977",85000,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","02/01/1974","03/16/1976",7411511,"Leo","Vernon","02/01/1974","Principal Investigator","Brigham Young University","Provo",846021231,8014226177,"A-285 ASB","United States","Utah","UT","Div Of Molecular and Cellular Bioscience",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369",1369,"North Equatorial Countercurrent System of the Atlantic OceanWest of 25 Degrees West","04/01/1974","09/30/1977",112300,"Standard Grant",6040303,"Directorate For Geosciences","name not available","03/28/1974","08/16/1977",7411516,"John","Cochrane","04/01/1974","Principal Investigator","Texas A&M University Main Campus","College Station",778454375,9798626777,"400 Harvey Mitchell Pkwy South","United States","Texas","TX","Division Of Ocean Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370",1370,"Planning and Pilot Development For a Software Engineering Handbook","04/15/1974","02/28/1977",50000,"Interagency Agreement",5010002,"Direct For Computer & Info Scie & Enginr","name not available","05/15/1974","06/28/1976",7411520,"Seymour","Jeffery","04/15/1974","Principal Investigator","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","Gaithersburg",208998200,3019756633,"100 BUREAU DRIVE MS-8200","United States","Maryland","MD","Division of Computing and Communication Foundations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371",1371,"Sequence Analysis of the H Chanin of Igm and Structural Comparison With Immunoglobulin From Lower Animals","05/01/1974","10/31/1976",46200,"Standard Grant",8070400,"Direct For Biological Sciences","name not available","05/02/1974","04/30/1975",7411522,"J.Claude","Bennett","05/01/1974","Principal Investigator","University of Alabama at Birmingham","Birmingham",352940001,2059345266,"AB 1170","United States","Alabama","AL","Div Of Molecular and Cellular Bioscience",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1372",1372,"A High Latitude Spectrophotometric Facility For Auroral and Airglow Studies","01/01/1900","01/01/1900",69900,"Standard Grant",6020201,"Directorate For Geosciences","name not available","02/08/1974","05/28/1975",7411525,"Gulamabas","Sivjee","01/01/1900","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Div Atmospheric & Geospace Sciences",1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373",1373,"Characteristics of Sac/Diaphragm Pulsatile Pumps","09/01/1974","02/20/1977",102100,"Continuing grant",7020000,"Directorate For Engineering","name not available","09/17/1974","08/20/1975",7411527,"John","Brighton","09/01/1974","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,"Winfred","Phillips","09/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374",1374,"Mass Transfer, Mixing and Growth in Tower Fermentors With Motionless Mixers","07/01/1974","09/30/1977",80000,"Standard Grant",7020000,"Directorate For Engineering","name not available","05/10/1974","04/22/1975",7411531,"Larry","Erickson","07/01/1974","Principal Investigator","Kansas State University","MANHATTAN",665061103,7855326804,"2 FAIRCHILD HALL","United States","Kansas","KS","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",1375,"Topics in Theoretical Plasma Physics","07/01/1974","12/31/1976",47900,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","name not available","05/22/1974","03/14/1975",7411535,NA,"DATA NOT AVAILABLE","07/01/1974","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT","Division Of Physics",1275,"THEORET-ELEMENTARY PARTIC",NA,NA,NA,NA,1276,"OTHER THEORETICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",1376,"Surface Chemistry and Catalysis","09/01/1974","02/28/1978",146700,"Continuing grant",3090108,"Direct For Mathematical & Physical Scien","name not available","08/29/1974","09/01/1976",7411539,"W. Keith","Hall","09/01/1974","Principal Investigator","University of Wisconsin-Milwaukee","Milwaukee",532010340,4142294853,"P O BOX 340","United States","Wisconsin","WI","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377",1377,"Experiments on the Characterization of Single and Two Phase Flows in Porous Media","06/01/1974","08/31/1977",55100,"Standard Grant",7020000,"Directorate For Engineering","name not available","06/06/1974","11/15/1976",7411566,"Gordon","Youngquist","06/01/1974","Co-Principal Investigator","Clarkson University","Potsdam",136761401,3152686475,"8 Clarkson Avenue","United States","New York","NY","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,"Richard","Nunge","06/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378",1378,"Regulation of Membrane Permeability in Yeast- Cellcycle and Biological Clock Controls","06/01/1974","11/30/1976",54500,"Standard Grant",8070400,"Direct For Biological Sciences","name not available","05/16/1974","05/16/1974",7411568,"Vincent","Cirillo","06/01/1974","Co-Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY","Div Of Molecular and Cellular Bioscience",1144,"Molecular Biophysics","Leland","Edmunds","06/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1379",1379,"Special Foreign Currency Award For Services in Connection With Payment of Publication Page Charges","05/01/1974","10/31/1975",6900,"Standard Grant",1090000,"Office Of The Director","name not available","04/23/1974","04/23/1974",7411624,"Lester","Kraus","05/01/1974","Principal Investigator","Drexel University","Philadelphia",191021119,2158955849,"1505 Race St, 8th Floor","United States","Pennsylvania","PA","Office Of Internatl Science &Engineering",5950,"SWITZERLAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1380",1380,"Diffuse Support For the U.S. Supreme Court: OperationalizingAnd Testing a Learning Theory Model","07/01/1974","12/31/1976",102800,"Standard Grant",4040700,"Direct For Social, Behav & Economic Scie","name not available","04/24/1974","04/24/1974",7411634,"Joseph","Tanenhaus","07/01/1974","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY","Division Of Behavioral and Cognitive Sci",1371,"POLITICAL SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1381",1381,"Study, Analysis and Report on Feasibility of Investment Guarantee Program","06/01/1974","01/21/1975",115100,"Contract",1030801,"Office Of The Director","name not available","06/26/1974","06/21/1977",7411639,"Anthony","Easton","06/01/1974","Principal Investigator","Diebold Group Inc","New York",10022,NA,NA,"United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382",1382,"Non-Linear Effects and Boundary Effects in Molecular Relaxation Theory","11/01/1974","04/30/1978",57000,"Continuing grant",3090108,"Direct For Mathematical & Physical Scien","name not available","10/24/1974","11/01/1976",7411650,"James","Hynes","11/01/1974","Principal Investigator","University of Colorado at Boulder","Boulder",803031058,3034926221,"3100 Marine Street, Room 481","United States","Colorado","CO","Division Of Chemistry",1918,"CHEMICAL THERMODYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1383",1383,"Rate of Removal of Hydrogen Sulfide From High Temperature Coal Gas in the Presence of the Water Gas Reaction","03/15/1975","05/31/1977",22400,"Standard Grant",7020000,"Directorate For Engineering","name not available","03/10/1975","10/12/1976",7411654,"Thomas","Petrie","03/15/1975","Principal Investigator","Southern Illinois University at Carbondale","Carbondale",629014308,6184534540,"Ofc. of Sponsored Projects Admin","United States","Illinois","IL","Div Of Chem, Bioeng, Env, & Transp Sys",1402,"BIOCHEMICAL & BIOMASS ENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1384",1384,"Theoretical Studies on the Compton Profile, X-Ray and Fast Electron Scattering Factors of Simple Molecules and Momentum-Space Quantum Chemistry","06/01/1974","11/30/1977",54900,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","name not available","04/25/1974","05/17/1976",7411662,"Paul","Cade","06/01/1974","Principal Investigator","University of Massachusetts Amherst","Hadley",10359450,4135450698,"Research Administration Building","United States","Massachusetts","MA","Division Of Chemistry",1915,"EXPERIMENTAL CHEMICAL PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",1385,"Fine Sediment Dispersal in the North Atlantic Ocean","06/01/1974","01/01/1900",21900,"Standard Grant",6040304,"Directorate For Geosciences","name not available","04/30/1974","04/30/1974",7411664,"Herman","Zimmerman","06/01/1974","Principal Investigator","Union College","Schenectady",123083103,5183886101,"807 Union Street","United States","New York","NY","Division Of Ocean Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1386",1386,"Lorentz Electron Microscopy Studies of Magnetoelasticity in Thin Nickel Films","09/01/1974","02/28/1977",37800,"Standard Grant",3070004,"Direct For Mathematical & Physical Scien","name not available","09/13/1974","09/13/1974",7411677,"Kenneth","Lawless","09/01/1974","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE",229044195,4349244270,"P.O. BOX 400195","United States","Virginia","VA","Division Of Materials Research",1771,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",1387,"Studies of Solids By Positron Annihilation","03/15/1974","08/31/1977",141000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","name not available","03/29/1974","03/04/1976",7411678,"Werner","Brandt","03/15/1974","Principal Investigator","New York University","NEW YORK",100121019,2129982121,"70 WASHINGTON SQUARE S","United States","New York","NY","Division Of Materials Research",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,1761,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
