"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"3198","Geochemistry of the Arabian Sea-Persian Gulf Area","04/15/1975","10/31/1977","110500","Standard Grant","06040302","Directorate For Geosciences","Division Of Ocean Sciences","name not available","04/14/1975","04/13/1976","7514383","John","Hunt","04/15/1975","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE","025431041","5082893542","183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3199","1975 Energy Related Graduate Traineeship Program","07/01/1975","08/30/1978","40600","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514386","None","None","07/01/1975","Principal Investigator","University of Colorado at Boulder","Boulder","803031058","3034926221","3100 Marine Street, Room 481","United States","Colorado","CO",NA,NA,NA,NA,NA,"7135","GRAD TRAINING CATEGORICAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3200","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514387","None","None","07/01/1975","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3201","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","60900","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514389","None","None","07/01/1975","Principal Investigator","University of Delaware","Newark","197162553","3028312136","210 Hullihen Hall","United States","Delaware","DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3202","1975 Energy Related Graduate Traineeship Program","07/01/1975","09/30/1978","101500","Standard Grant","05050100","Direct For Computer & Info Scie & Enginr","Division Of Computer and Network Systems","name not available","03/26/1975","03/26/1975","7514393","None","None","07/01/1975","Principal Investigator","University of Utah","SALT LAKE CITY","841128930","8015816903","75 S 2000 E","United States","Utah","UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3203","Energy Production From Renewable Resources -- an ExploratoryCost/Benefit Analysis","06/01/1975","06/30/1976","64000","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","05/16/1975","05/16/1975","7514404","Richard","Boubel","06/01/1975","Principal Investigator","Oregon State University","Corvallis","973318507","5417374933","OREGON STATE UNIVERSITY","United States","Oregon","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3204","A Study of Novel Rock Disintegration Techniques","06/01/1975","12/31/1977","99400","Standard Grant","07030000","Directorate For Engineering","Div Of Civil, Mechanical, & Manufact Inn","name not available","06/17/1975","03/16/1979","7514405","William","Maurer","06/01/1975","Principal Investigator","Maurer Engineering Inc","Houston","770187006","7136838227","2916 West T.C. Jester","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3205","Dissociation Fragment Spectroscopy By Uv and Electrons","04/01/1975","10/31/1977","89800","Standard Grant","06020201","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/28/1975","04/15/1977","7514412","George","Lawrence","04/01/1975","Principal Investigator","University of Colorado at Boulder","Boulder","803031058","3034926221","3100 Marine Street, Room 481","United States","Colorado","CO",NA,NA,NA,NA,NA,"1521","AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3206","Measure of Radio Meteor Winds","06/01/1975","11/30/1978","90600","Continuing grant","06020201","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","04/09/1975","08/10/1977","7514414","Robert","Roper","06/01/1975","Principal Investigator","Georgia Tech Research Corporation","Atlanta","303320420","4048944819","Office of Sponsored Programs","United States","Georgia","GA",NA,NA,"roper@eas.gatech.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3207","Collaborative Research on Sedimentation on the Hatteras Abyssal Plain","09/01/1975","03/31/1980","84700","Standard Grant","06040304","Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/28/1975","10/21/1977","7514416","Orrin","Pilkey","09/01/1975","Principal Investigator","Duke University","Durham","277054010","9196843030","2200 W. Main St, Suite 710","United States","North Carolina","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3208","Petrogenesis of Adamellites and Diorites Associated With TheNain Anorthosite Massif, Labrador","06/01/1975","05/31/1978","34100","Standard Grant","06030003","Directorate For Geosciences","Division Of Earth Sciences","name not available","04/21/1975","03/09/1977","7514423","Robert","Wiebe","06/01/1975","Principal Investigator","Franklin and Marshall College","Lancaster","176043003","7173584517","Office of the Provost","United States","Pennsylvania","PA",NA,NA,"bwiebe@fandm.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3209","Energetics and Stereochemistry of Enzyme Catalysis","06/01/1975","11/30/1978","167000","Continuing grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","05/02/1975","06/13/1977","7514424","Jeremy","Knowles","06/01/1975","Principal Investigator","Harvard University","Cambridge","021385366","6174955501","1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3210","Calorimetric Study of the Interaction of Polypeptides and Proteins With Liposomal Vesicles","01/15/1975","04/30/1978","50000","Standard Grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/11/1975","09/11/1975","7514425","Garret","Vanderkooi","01/15/1975","Principal Investigator","Northern Illinois University","De Kalb","601152860","8157531581","301 Lowden Hall","United States","Illinois","IL","Gordon","Kresheck","8157536870","01/15/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3211","Micropaleontology, Lithology and Paleomagnetics of Late Cenozoic Sediments of Hokkaido and Adjacent Seas","09/01/1975","02/28/1979","84400","Standard Grant","06040304","Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/28/1975","08/23/1976","7514430","Tsunemasa","Saito","09/01/1975","Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades","10964","9143592900","Rt 9W","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3212","Travel of U.S. Scientists to Attend the Vth International Biophysics Congress - Copenhagen, Denmark - August 1975 (C310 T.O. 310)","04/01/1975","03/31/1976","10000","BOA/Task Order","08000000","Direct For Biological Sciences","Direct For Biological Sciences","name not available","03/24/1975","03/24/1975","7514436","Harvey","Sheppard","04/01/1975","Principal Investigator","National Academy of Sciences","Washington","200012721","2023342254","500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,"5931","INTERNATIONAL INFO & ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3213","Workshop on Applied Thermoviscoplasticity, Evanston, Illinois, October, 1975","05/01/1975","10/31/1976","8400","Standard Grant","07080300","Directorate For Engineering",NA,"name not available","04/28/1975","06/25/1976","7514440","Sia","Nemat-Nasser","05/01/1975","Principal Investigator","Northwestern University","Evanston","602013149","8474913003","1801 Maple Ave.","United States","Illinois","IL",NA,NA,"sia@halebopp.ucsd.edu",NA,NA,"1434","SOLID MECHANICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3214","Regulation of Aromatic Amino Acid and of Sterol Biosynthesis","12/01/1975","09/30/1980","175700","Continuing grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","08/22/1975","03/22/1979","7514443","David","Sprinson","12/01/1975","Principal Investigator","Columbia University","NEW YORK","100276902","2128546851","2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3215","Mechanism and Regulation of Ethylene Biosynthesis","06/01/1975","11/30/1978","104000","Continuing grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","04/24/1975","06/20/1977","7514444","Shang Fa","Yang","06/01/1975","Principal Investigator","University of California-Davis","Davis","956186134","5307547700","OR/Sponsored Programs","United States","California","CA",NA,NA,NA,NA,NA,"1144","Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3216","Purchase of Data Acquisition Equipment For Geotechnical Engineering Research","04/15/1975","03/31/1977","128000","Standard Grant","03030301","Direct For Mathematical & Physical Scien",NA,"name not available","04/02/1975","09/22/1976","7514445","William","Houston","04/15/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,"bill.houston@asu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3217","Automated Macromodeling of Integrated Circuits","10/01/1975","12/31/1978","51600","Standard Grant","05040003","Direct For Computer & Info Scie & Enginr","Division of Microelectronic Information Processing Systems","name not available","09/17/1975","01/01/1900","7514450","Leo Cecil","McAfee","10/01/1975","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor","481091274","7347636438","3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,"lcm@eecs.umich.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3218","Far Infrared Laser-Plasma Interactions","09/15/1975","06/30/1978","68000","Standard Grant","03030502","Direct For Mathematical & Physical Scien",NA,"name not available","08/26/1975","02/17/1978","7514452","Francis","Chen","09/15/1975","Co-Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA","Neville","Luhmann","ffchen@ee.ucla.edu","09/15/1975","Principal Investigator","1452","POWER SYSTEMS",NA,NA,"ncluhmann@ucdavis.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3219","Antennas in Plasmas - Electromagnetic Properties","11/15/1975","04/30/1977","25500","Standard Grant","03030502","Direct For Mathematical & Physical Scien",NA,"name not available","10/23/1975","10/23/1975","7514455","Tai","Wu","11/15/1975","Principal Investigator","Harvard University","Cambridge","021385366","6174955501","1033 MASSACHUSETTS AVE","United States","Massachusetts","MA","Ronold","King","ttwu@huhepl.harvard.edu","11/15/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3220","High Capacity Laser Holographic Data Storage","10/01/1975","11/30/1977","34600","Standard Grant","05040003","Direct For Computer & Info Scie & Enginr","Division of Microelectronic Information Processing Systems","name not available","09/12/1975","09/12/1975","7514456","William","Callen","10/01/1975","Co-Principal Investigator","Georgia Tech Research Corporation","Atlanta","303320420","4048944819","Office of Sponsored Programs","United States","Georgia","GA","Thomas","Gaylord","tgaylord@ece.gatech.edu","10/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3221","Activation of Hydrocarbons By Unsaturated Metal Cluster Complexes","07/01/1975","03/31/1979","90100","Continuing grant","03090302","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/28/1975","05/24/1978","7514460","John","Shapley","07/01/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN","618207473","2173332187","SUITE A","United States","Illinois","IL",NA,NA,"shapley@illinois.edu",NA,NA,"1932","SYNTHETIC INORGANIC & ORGANOME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3222","Research Conference on Gas Kinetics to Be Held in Austin, Teaxas During March 15-19, 1976","01/01/1976","01/31/1977","4800","Standard Grant","03090102","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","11/11/1975","11/11/1975","7514461","William","Gardiner","01/01/1976","Principal Investigator","University of Texas at Austin","Austin","787121532","5124716424","101 E. 27th Street, Suite 5.300","United States","Texas","TX","John","White","bill@lioness.cm.utexas.edu","01/01/1976","Co-Principal Investigator",NA,NA,NA,NA,"jmwhite@mail.utexas.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3223","Chemistry and Biochemistry of Superoxide Anion","07/01/1975","12/31/1978","145000","Continuing grant","03090302","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","04/24/1975","04/26/1977","7514463","Joan","Valentine","07/01/1975","Principal Investigator","Rutgers University New Brunswick","Piscataway","088543925","8489320150","33 Knightsbridge Road","United States","New Jersey","NJ",NA,NA,"jsv@chem.ucla.edu",NA,NA,"1932","SYNTHETIC INORGANIC & ORGANOME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3224","Acculturation of Urban Papago Indians","06/01/1975","11/30/1977","1800","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","03/28/1975","10/21/1976","7514464","Julie","Uhlmann","06/01/1975","Principal Investigator","University of Wyoming","Laramie","820712000","3077665320","1000 E. University Avenue","United States","Wyoming","WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225","Emigration and Child Raising in a Caribbean Community","05/15/1975","11/30/1976","5900","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","03/31/1975","11/28/1975","7514472","James","Green","05/15/1975","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218","6082623822","21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3226","Social Mechanisms For Achieving Cooperation","06/01/1975","11/30/1978","25500","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","04/14/1975","08/17/1977","7514476","Phillip","Bonacich","06/01/1975","Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA",NA,NA,"bonacich@soc.ucla.edu",NA,NA,"1331","SOCIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3227","The Development of Aggregate Levels of Partisanship","06/15/1975","11/30/1976","11000","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","03/31/1975","03/31/1975","7514478","W.Phillips","Shively","06/15/1975","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN",NA,NA,"shively@polisci.umn.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228","Origin of Syntactic Devices in Hawaiian Creole English - A Study of Universals of Creolization","09/01/1975","08/31/1978","100300","Standard Grant","08040103","Direct For Biological Sciences","Emerging Frontiers","name not available","08/04/1975","02/01/1978","7514481","Derek","Bickerton","09/01/1975","Principal Investigator","University of Hawaii","HONOLULU","968222234","8089567800","2440 Campus Road, Box 368","United States","Hawaii","HI",NA,NA,NA,NA,NA,"1351","SPECIAL PROJECTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
