"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"450",450,"Algebraic Geometry and Analytic Varieties","09/16/1970","01/31/1975",0,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002062,"Wei-Liang","Chow","09/16/1970","Principal Investigator","Johns Hopkins University","Baltimore","212182608",4105168668,"3400 N CHARLES ST","United States","Maryland","MD","Joseph","Sampson","09/16/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",451,"Mathematical Analysis of Fields and Particles","06/01/1971","05/31/1972",0,"Standard Grant",3040100,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002063,"Irving","Segal","06/01/1971","Principal Investigator","Massachusetts Institute of Technology","Cambridge","021394301",6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA","Joseph","Sampson","06/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452",452,"Ultrafast Spectroscopy","03/15/1971","03/31/1974",0,"Continuing grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002064,"Jeremy","Taylor","03/15/1971","Principal Investigator","University of Pennsylvania","Philadelphia","191046205",2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453",453,"Algebraic Topology","10/15/1970","10/31/1975",0,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002065,"Mark","Mahowald","10/15/1970","Principal Investigator","Northwestern University","Evanston","602013149",8474913003,"1801 Maple Ave.","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454",454,"Investigation of High-Temperature Molecules By the Matrix- Isolation Technique","11/01/1970","10/31/1974",0,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002066,"William","Weltner","11/01/1970","Principal Investigator","University of Florida","GAINESVILLE","326112002",3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455",455,"To Attend- Third International Symposium on Photochemistry, St. Moritz, Switzerland, July 12-18, 1970","05/21/1970","11/30/1970",0,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002067,"Malcolm","Daniels","05/21/1970","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456",456,"Mechanisms of Reactions of Phosphorus Heterocycles","10/01/1970","05/31/1973",0,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002068,"Kenneth","Marsi","10/01/1970","Principal Investigator","California State University-Long Beach","Long Beach","908404509",5629855314,"1250 Bellflower Blvd","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",457,"Bonding in Organoberyllium Compounds","09/01/1970","08/31/1973",0,"Standard Grant",3090302,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002069,NA,"DATA NOT AVAILABLE","09/01/1970","Principal Investigator","University of Wyoming","Laramie","820712000",3077665320,"1000 E. University Avenue","United States","Wyoming","WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458",458,"High Energy Physics","10/01/1970","06/30/1972",0,"Standard Grant",3010200,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002070,"Charles","Roos","10/01/1970","Principal Investigator","Vanderbilt University","Nashville","372350002",6153222631,"Sponsored Programs Administratio","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459",459,"High Resolution Atomic Beam Resonance","11/01/1970","10/31/1973",0,"Standard Grant",3010100,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002071,"Edgar","Lipworth","11/01/1970","Principal Investigator","Brandeis University","WALTHAM","024532728",7817362121,"415 SOUTH ST MAILSTOP 116","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460",460,"Nuclear Structure Research","09/15/1970","09/30/1975",0,"Standard Grant",3010400,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002072,NA,"DATA NOT AVAILABLE","09/15/1970","Principal Investigator","Northwestern University","Evanston","602013149",8474913003,"1801 Maple Ave.","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461",461,"Heteroatom Effects on the Acidity of Carbon Acids","01/01/1971","12/31/1972",0,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002073,NA,"DATA NOT AVAILABLE","01/01/1971","Principal Investigator","University of Florida","GAINESVILLE","326112002",3523923516,"1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462",462,"Temperature-Jump Studies of Meisenheimer Complexes and Related Intermediates","07/01/1971","06/30/1974",0,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002074,"Claude","Bernasconi","07/01/1971","Principal Investigator","University of California-Santa Cruz","Santa Cruz","950641077",8314595278,"1156 High Street","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463",463,"Travel to Attend- the Twelfth International Conference on Low Temperature Physics to Be Held in Kyoto, Japan, September 4-10, 1970","05/28/1970","11/30/1970",0,"Standard Grant",3010000,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002075,"Daniel","Amit","05/28/1970","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",464,"Travel to Attend- the Twelfth International Conference on Low Temperature Physics to Be Held in Kyoto, Japan, September 4-10, 1970","05/28/1970","11/30/1970",0,"Standard Grant",3010000,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002076,"Jeremy","Taylor","05/28/1970","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465",465,"Theoretical Research in Cosmology and Relativity","01/01/1971","08/31/1977",70900,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","03/03/1975","08/24/1976",7002077,"Dieter","Brill","01/01/1971","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141",3014056269,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466",466,"Dynamics of Elementary Processes in Solutions of Biopolymers","04/19/1971","04/30/1973",0,"Standard Grant",3090108,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002078,"Alexander","Schure","04/19/1971","Principal Investigator","University of Washington","Seattle","981950001",2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467",467,"Volumes of Activation","01/01/1971","12/31/1975",0,"Standard Grant",3090102,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","06/11/1975","06/11/1975",7002079,"Kay","Brower","01/01/1971","Principal Investigator","New Mexico Institute of Mining and Technology","Socorro","878014681",5758355915,"801 Leroy Place","United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468",468,"Organic Structures By Gas Chromatography","09/01/1970","08/31/1973",0,"Standard Grant",3090308,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002080,"Richard","Juvet","09/01/1970","Principal Investigator","Arizona State University","TEMPE","852816011",4809655479,"ORSPA","United States","Arizona","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469",469,"Theoretical Investigations of Crystal Structures of Solids","11/01/1971","10/31/1973",0,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","H. Hollis Wickman",NA,NA,7002081,"Denis","Weaire","11/01/1971","Principal Investigator","Yale University","New Haven","065208327",2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470",470,"Algebra","10/15/1970","10/31/1973",0,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002082,"Stephen","Chase","10/15/1970","Co-Principal Investigator","Cornell University","Ithaca","148502820",6072555014,"373 Pine Tree Road","United States","New York","NY","Grayson","Capp","10/15/1970","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471",471,"Field Theory Investigations","10/15/1970","10/31/1972",0,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002083,"Wolfhart","Zimmermann","10/15/1970","Principal Investigator","New York University","NEW YORK","100121019",2129982121,"70 WASHINGTON SQUARE S","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472",472,"Particle Physics Investigations","12/01/1970","11/30/1972",0,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002084,"Leslie","Sirkin","12/01/1970","Principal Investigator","New York University","NEW YORK","100121019",2129982121,"70 WASHINGTON SQUARE S","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473",473,"To Attend- Third International Liquid Crystal Conference, Berlin, Germany, August 24-28, 1970","05/26/1970","11/30/1970",0,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002085,NA,"DATA NOT AVAILABLE","05/26/1970","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",474,"Molecular Orbital Theory of Organic Chemistry","11/01/1970","06/30/1976",0,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002086,"John","Pople","11/01/1970","Principal Investigator","Carnegie-Mellon University","PITTSBURGH","152133815",4122689527,"5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475",475,"Dynamics of Electronic Processes","11/01/1970","10/31/1973",0,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002087,"Edward","Weissberger","11/01/1970","Principal Investigator","Washington University","Saint Louis","631304862",3147474134,"CAMPUS BOX 1054","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",476,"Travel to Attend- the International Conference on Magnetism To Be Held in Grenoble, France, September 14-19, 1970","07/20/1970","05/31/1971",0,"Standard Grant",3010000,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002088,"Robert","Lange","07/20/1970","Principal Investigator","Travel Award","Arlington","22230",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",477,"Bound Electron Interactions With Coherent High Intensity Radiation","10/01/1970","09/30/1973",0,"Standard Grant",3010500,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available",NA,NA,7002089,"Joseph","Eberly","10/01/1970","Principal Investigator","University of Rochester","Rochester","146270140",5852754031,"518 HYLAN, RC BOX 270140","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",478,"Combinatorial Algebra","09/15/1970","09/30/1972",0,"Standard Grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002090,"May Beth","Givan","09/15/1970","Principal Investigator","California Institute of Technology","PASADENA","911250600",6263956219,"1200 E California Blvd","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479",479,"Excited States of Polyatomic Molecules","11/01/1970","10/31/1972",0,"Standard Grant",3090105,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002091,"Vincent","McKoy","11/01/1970","Principal Investigator","California Institute of Technology","PASADENA","911250600",6263956219,"1200 E California Blvd","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",480,"Structural Studies of Molecules in Unusual States- Free Radicals and Decomposition Products","10/01/1970","09/30/1974",0,"Standard Grant",3090106,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002092,"Russell","Bonham","10/01/1970","Principal Investigator","Indiana University","Bloomington","474013654",8128550516,"509 E 3RD ST","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481",481,"Synthesis and Reactions of Epoxides","11/01/1970","04/30/1974",0,"Standard Grant",3090302,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002093,NA,"DATA NOT AVAILABLE","11/01/1970","Principal Investigator","Indiana University","Bloomington","474013654",8128550516,"509 E 3RD ST","United States","Indiana","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",482,"Ligand Exchange Chromatography","02/15/1971","02/28/1973",0,"Standard Grant",3090308,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002094,"Jeremy","Taylor","02/15/1971","Principal Investigator","University of Colorado at Boulder","Boulder","803031058",3034926221,"3100 Marine Street, Room 481","United States","Colorado","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",483,"Vapor Pressure Isotope Effects in Aqueous Systems- Hydrophobic Solutes","09/01/1971","08/31/1977",0,"Standard Grant",3090108,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002095,"Alexander","Van Hook","09/01/1971","Principal Investigator","University of Tennessee Knoxville","KNOXVILLE","379960003",8659743466,"1 CIRCLE PARK","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484",484,"X-Ray Diffraction Studies of Bridged Cobalt Compounds","10/01/1970","09/30/1972",0,"Standard Grant",3090106,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available",NA,NA,7002096,"Richard","Marsh","10/01/1970","Principal Investigator","California Institute of Technology","PASADENA","911250600",6263956219,"1200 E California Blvd","United States","California","CA","William","Schaefer","10/01/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485",485,"Hadamard Matrices and Quadratic Forms","06/01/1971","07/31/1972",0,"Continuing grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002097,"Albert","Whiteman","06/01/1971","Principal Investigator","University of Southern California","Los Angeles","900890001",2137407762,"University Park","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",486,"Ergodic Theory and Additive Number Theory","09/01/1970","08/31/1974",0,"Standard Grant",3040101,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002098,"Julius","Blum","09/01/1970","Principal Investigator","University of New Mexico","Albuquerque","871310001",5052774186,"1700 Lomas Blvd. NE, Suite 2200","United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487",487,"Algebraic and Differential Topology","06/01/1971","05/31/1973",0,"Continuing grant",3040108,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available",NA,NA,7002099,"Jeremy","Taylor","06/01/1971","Principal Investigator","Yale University","New Haven","065208327",2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",488,"Research in Radio Astronomy","09/01/1970","08/31/1973",0,"Standard Grant",3020000,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available",NA,NA,7002100,"John","Kraus","09/01/1970","Principal Investigator","Ohio State University","Columbus","432101016",6146888735,"Office of Sponsored Programs","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
