"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"852",852,"Ground Water and Hydrology in Mcmurdo Dry Valley Region, Antarctica","09/01/1973","02/28/1977",35400,"Standard Grant",6090300,"Directorate For Geosciences","Division Of Polar Programs","name not available","09/01/1973","10/08/1975",7305917,"Keros","Cartwright","09/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",5112,"ANTARCTIC EARTH SCIENCES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",853,"Study of Artificially Stimulated Emissions Electron PrecipitAtion Due to Very Low Frequency Emissions at Siple Station","07/01/1973","06/30/1975",24800,"Standard Grant",6090300,"Directorate For Geosciences","Division Of Polar Programs","name not available","07/18/1973","04/22/1975",7305920,"James","Benbrook","07/01/1973","Co-Principal Investigator","University of Houston","Houston",772042015,7137435773,"4800 Calhoun Boulevard","United States","Texas","TX",NA,NA,"William","Sheldon","07/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",854,"Primary Producers in the Antarctic Marine Ecosystem","02/01/1974","08/31/1975",83100,"Standard Grant",6090300,"Directorate For Geosciences","Division Of Polar Programs","name not available","01/11/1974","06/30/1975",7305927,"Guy","Franceschini","02/01/1974","Co-Principal Investigator","Texas A&M University Main Campus","College Station",778454375,9798626777,"400 Harvey Mitchell Pkwy South","United States","Texas","TX",NA,NA,"Dean","Letzring","02/01/1974","Co-Principal Investigator","Nestor","Bottino","02/01/1974","Co-Principal Investigator",NA,NA,NA,"El-Sayed","02/01/1974","Principal Investigator",NA,NA,NA,"Sayed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",855,"Geochemical and Isotope Bore Hole Studies As Part of Polar Ice-Drilling Projects","12/01/1973","09/30/1977",97100,"Standard Grant",6090300,"Directorate For Geosciences","Division Of Polar Programs","name not available","01/14/1974","06/30/1976",7305933,"Hans","Oeschger","12/01/1973","Principal Investigator","University of Bern","Bern",3007,316314847,"Hochschulstrasse 6","Switzerland",NA,NA,5112,"ANTARCTIC EARTH SCIENCES",NA,NA,NA,NA,NA,NA,NA,NA,5116,NA,"ANTARCTIC GLACIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",856,"Controlled Ecosystem Pollution Experiment (Cepex)- THe Complementary Role of Heterotrophic Microbial MeasuremenTs in an Environmental Effectsprogram","05/01/1973","10/30/1977",195400,"Standard Grant",6040300,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","05/31/1973","05/24/1977",7305941,"Ralph","Vaccaro","05/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857",857,"Lagrangian Measurements of Currents in the Coastal Upwelling Zone With Drogues","01/01/1974","08/31/1977",89900,"Standard Grant",6040300,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","02/04/1974","03/04/1976",7305943,"Merritt","Stevenson","01/01/1974","Principal Investigator","Inter-American Tropical Tuna Commission","La Jolla",920371508,8585467100,"8901 La Jolla Shores Dr # 304","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",858,"Study of Large Scale Ocean-Atmosphere Coupling","07/01/1973","03/31/1975",51200,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/24/1973","06/27/1974",7305958,"Richard","Vetter","07/01/1973","Principal Investigator","National Research Council","WASHINGTON",204180006,NA,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",859,"New Developments in Support of Design Instruction For Ocean Based Sys","07/01/1974","12/31/1978",376108,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","03/08/1974","07/01/1976",7305985,"Chryssostomos","Chryssostomidis","07/01/1974","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",7220,"ALT IN HIGHER ED - MAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",860,"Nuclear Magnetic Resonance Study of Amorphous Transition Metal and Alloy Films","09/01/1975","05/31/1977",20000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/27/1975","06/27/1975",7305989,"Kwang","Han","09/01/1975","Principal Investigator","Hampton University","Hampton",236680108,7577275363,"100 E. Queen Street","United States","Virginia","VA",1270,"MATHEMATICAL SCIENCES-RESERVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",861,"Digital Systems Education (Dise) Committee","07/01/1974","06/30/1977",102200,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/14/1974","07/29/1976",7306003,NA,"DATA NOT AVAILABLE","07/01/1974","Principal Investigator","University of Pittsburgh","Pittsburgh",152132303,4126247400,"University Club","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862",862,"Reseach Inititation For Minority Institution Improvement Topological Groups and Topological Transformation Groups","06/01/1975","08/31/1977",24000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Office of Advanced Cyberinfrastructure (OAC)","name not available","06/17/1975","11/29/1977",7306184,"Sigmund","Hudson","06/01/1975","Principal Investigator","Savannah State University","Savannah",314049703,9123584277,"State College Branch","United States","Georgia","GA",1260,"INFRASTRUCTURE PROGRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",863,"Research Initiation For Minority Institution ImprovemenT","06/01/1974","02/28/1977",15600,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Office of Advanced Cyberinfrastructure (OAC)","name not available","06/12/1974","04/26/1976",7306255,"Larry","Sherman","06/01/1974","Principal Investigator","North Carolina Agricultural & Technical State University","Greensboro",274110001,3363347995,"1601 E. Market Street","United States","North Carolina","NC",1900,"CHEMISTRY - UNDISTRIBUTED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",864,"Improvement of Instructional Material For Nuclear Power EngiNeering","09/15/1973","11/30/1977",151600,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","10/03/1973","11/30/1976",7306276,"Milton","Edlund","09/15/1973","Principal Investigator","Virginia Polytechnic Institute and State University","BLACKSBURG",240610001,5402315281,"Sponsored Programs 0170","United States","Virginia","VA",7220,"ALT IN HIGHER ED - MAT",NA,NA,NA,NA,NA,NA,NA,NA,7520,NA,"CONTINUING EDUCATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",865,"An Integrated Ship Design Sys As an Aid to Eng Scied in NavaL Archit","03/01/1974","06/30/1979",471380,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","03/08/1974","05/10/1978",7306283,"John","Woodward","03/01/1974","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"866",866,"Surface Science and Technology","02/15/1974","07/31/1978",75000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","03/04/1974","08/15/1977",7306317,"Robert","Pierotti","02/15/1974","Principal Investigator","Georgia Tech Research Corporation","Atlanta",303320420,4048944819,"Office of Sponsored Programs","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867",867,"Secondary School Curriculum Project on Human Behavior","01/01/1974","12/31/1978",798355,"Standard Grant",5010100,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/14/1974","12/22/1977",7306337,NA,"DATA NOT AVAILABLE","01/01/1974","Principal Investigator","American Psychological Assoc","WASHINGTON",200024242,2023126494,"750 FIRST ST. NE","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"868",868,"Minority Institutions Science Improvement Program","07/01/1974","12/31/1977",250000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/21/1974","11/22/1977",7306340,NA,"DATA NOT AVAILABLE","07/01/1974","Principal Investigator","Tuskegee University","Tuskegee Institute",360881923,3347278233,"1200 W Montgomery Road","United States","Alabama","AL",7627,"ETHNIC MINOR.-EXPER PROJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869",869,"Prufer-Type Properties For Commutative Rings","12/01/1975","08/31/1977",6000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/27/1975","06/27/1975",7306346,"Bernard","Irlbeck","12/01/1975","Principal Investigator","Xavier University of Louisiana","new orleans",701251098,5045205440,"#1 Drexel Drive","United States","Louisiana","LA",1260,"INFRASTRUCTURE PROGRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870",870,"Minority Institutions Science Improvement Program - Individual Institutional Project","07/01/1974","12/31/1976",185000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/24/1974","06/24/1974",7306348,"Billy","Black","07/01/1974","Principal Investigator","Albany State University","Albany",317052796,2294302799,"504 College Drive","United States","Georgia","GA",7627,"ETHNIC MINOR.-EXPER PROJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871",871,"Research Initiation For Minority Institution Improvement- Study of Nonlinear Pulse Code Modulated Network and Synchron- Systems","08/09/1974","05/31/1977",16000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Office of Advanced Cyberinfrastructure (OAC)","name not available","12/13/1974","12/13/1974",7306353,"Yogeshwar","Hari","08/09/1974","Principal Investigator","North Carolina Agricultural & Technical State University","Greensboro",274110001,3363347995,"1601 E. Market Street","United States","North Carolina","NC",1450,"ENG SCIE IN ELEC,COMMU & SYSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872",872,"Activities For Secondary School Science","07/01/1974","06/30/1977",262400,"Standard Grant",5010100,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","07/22/1974","02/04/1977",7306358,"John","Truxal","07/01/1974","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",7240,"LIT SEC SCHL PROG MAT NL","Emil","Piel","07/01/1974","Co-Principal Investigator","Thomas","Liao","07/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",873,"Higher Education Development and Dissemination in Materials Science and Engineering- an Exploratory Project","06/01/1974","11/30/1978",275800,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/24/1974","12/12/1977",7306359,"James","Biggers","06/01/1974","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"874",874,"Devel of Undergrad Multidisc Nuclear Lab Modules and Student Projects Using Nuclear Technology","08/01/1973","12/31/1976",32000,"Standard Grant",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","09/10/1973","09/10/1973",7306373,"Jeremy","Taylor","08/01/1973","Principal Investigator","University of North Texas","DENTON",762035017,9405653940,"1155 Union Circle #305250","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875",875,"Development of a San Francisco Bay Area Air Pollution Model","11/01/1972","03/31/1976",330000,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/17/1972","02/27/1976",7306382,"R.","Maninger","11/01/1972","Principal Investigator","Department of Energy San Francisco Operations Office","Berkeley",94704,NA,NA,"United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876",876,"International Conference on Photonuclear Reactions and Applications","01/01/1973","12/31/1973",5000,"Interagency Agreement",3010400,"Direct For Mathematical & Physical Scien","Division Of Physics","name not available","01/09/1973","01/09/1973",7306387,"B.","Berman","01/01/1973","Principal Investigator","Department of Energy San Francisco Operations Office","Berkeley",94704,NA,NA,"United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",877,"Heterogeneous Nucleation- Nucleation About Ions, the Properties of Small Clusters and Atmospheric Ions","01/15/1973","01/31/1975",25000,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/31/1973","01/31/1973",7306388,"A.","Castleman","01/15/1973","Principal Investigator","Boston Dispensary","Boston",2101,NA,NA,"United States","Massachusetts","MA",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878",878,"Eigensystem Workshop","03/15/1973","09/30/1973",22700,"Standard Grant",3040000,"Direct For Mathematical & Physical Scien","Division Of Mathematical Sciences","name not available","03/27/1973","03/27/1973",7306391,"Wayne","Cowell","03/15/1973","Principal Investigator","Argonne National Laboratory","Argonne",604394803,6302527677,"9700 South Cass Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879",879,"Building Practices For Disaster Mitigation- an Evaluvation Of Seisonic Codes","04/01/1973","03/31/1974",250000,"Interagency Agreement",1080100,"Office Of The Director","Office of Planning and Assessment","name not available","04/19/1973","04/19/1973",7306396,"R.","Wright","04/01/1973","Principal Investigator","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","Gaithersburg",208998200,3019756633,"100 BUREAU DRIVE MS-8200","United States","Maryland","MD",NA,NA,"Samuel","Kramer","04/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880",880,"Zodiacal Catalogue","04/15/1973","03/31/1975",56300,"Interagency Agreement",3070000,"Directorate for Mathematical & Physical Sciences","Division of Materials Research","name not available","04/25/1973","02/12/1975",7306397,"Benny","Klock","04/15/1973","Principal Investigator","Department of Navy","Washington",20315,NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881",881,"Workshop on Intense Neutron Sources","05/01/1973","10/31/1973",850,"Standard Grant",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","05/03/1973","05/03/1973",7306398,"May Beth","Givan","05/01/1973","Principal Investigator","Brookhaven National Laboratory","UPTON",119735000,6313443428,"Building 185","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882",882,"Management of Irrigation Water in Relation to Crop Requirements, Nutrient Utilization and Labor Requirements","05/01/1973","06/30/1977",5980,"Interagency Agreement",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/01/1973","10/21/1974",7306400,"E.","Kruse","05/01/1973","Principal Investigator","Agricultural Research Service","Washington",20250,NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",883,"Underwater and Submarine Aqueducts","05/01/1973","04/30/1974",33500,"Standard Grant",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","05/18/1973","05/18/1973",7306404,NA,"DATA NOT AVAILABLE","05/01/1973","Principal Investigator","Department of Interior","Washington",202400001,NA,"1849 C Street, NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",884,"Management and Recycling of Urban Solid Wastes (Formerly AgoOo455)","05/01/1973","04/30/1974",35000,"Interagency Agreement",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","05/18/1973","05/18/1973",7306405,NA,"DATA NOT AVAILABLE","05/01/1973","Principal Investigator","Department of Interior","Washington",202400001,NA,"1849 C Street, NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
