"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.Investigator.FirstName.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.5","Award.ProgramElement.Code.9","Award.ProgramElement.Text.6","Award.ProgramElement.Code.10","Award.ProgramElement.Text.7","Award.ProgramElement.Code.11","Award.ProgramElement.Text.8","Award.ProgramElement.Code.12","Award.ProgramElement.Text.9","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"592",592,"Empirical Definition of the Power and Affiliation MotivationSyndromes","01/01/1972","06/30/1977",86100,"Continuing grant",8040200,"Direct For Biological Sciences","Emerging Frontiers","name not available","12/20/1971","01/19/1976",7103813,"David","McClelland","01/01/1972","Principal Investigator","Harvard University","Cambridge",21385366,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",6174955501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",593,"Interpretation Systems For Empirical Economic Theories","01/01/1972","03/31/1978",283700,"Standard Grant",4040600,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","12/30/1971","10/24/1975",7103819,"Robert","Basmann","01/01/1972","Principal Investigator","Texas A&M University Main Campus","College Station",778454375,"400 Harvey Mitchell Pkwy South","United States","Texas","TX",9798626777,NA,NA,"John","Kagel","01/01/1972","Co-Principal Investigator","Battalio","01/01/1972","Co-Principal Investigator",NA,"Raymond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594",594,"Portfolio Behavior of Households and Financial Intermediaries","02/15/1972","02/28/1974",90000,"Standard Grant",4040600,"Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","02/29/1972","02/29/1972",7103828,"Irwin","Friend","02/15/1972","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",595,"Publication of the Proceedings of the Seminar on ApplicationOf Science and Technology to Local Governments","03/01/1971","03/31/1972",3500,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","04/05/1971","04/05/1971",7103838,"R.","Alexander","03/01/1971","Principal Investigator","Urban Institute","WASHINGTON",200371207,"2100 M ST NW STE 400","United States","District of Columbia","DC",2022231950,NA,NA,"Kessler","Cannon","03/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596",596,"Engineering Field Services to Local Governments","06/01/1971","09/30/1978",376900,"Continuing grant",11060000,"Direct For Education and Human Resources","Division Of Human Resource Development","name not available","06/18/1971","04/15/1976",7103842,"Chester","Carroll","06/01/1971","Principal Investigator","Auburn University","Auburn University",368490001,"310 Samford Hall","United States","Alabama","AL",3348444438,8820,"INTERGOVERNMENTAL PROGRAM",NA,NA,NA,NA,NA,NA,NA,8822,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOCAL GOVERNMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597",597,"Technology Assessment in State Government","06/01/1971","05/31/1972",22400,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/11/1971","06/11/1971",7103843,NA,"DATA NOT AVAILABLE","06/01/1971","Principal Investigator","National Academy of Public Administration","Washington",200362604,"1225 Conn Ave NW","United States","District of Columbia","DC",2028286500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598",598,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103850,"Jeremy","Taylor","11/25/1970","Principal Investigator","George C. Wallace Community College","Dothan",363030000,"1141 Wallace Drive","United States","Alabama","AL",3349833521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",599,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103853,"Jeremy","Taylor","11/25/1970","Principal Investigator","Northeast Alabama State Junior College","Rainsville",35986,"Highway 35","United States","Alabama","AL",2052286001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",600,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103859,"Jeremy","Taylor","11/25/1970","Principal Investigator","Citrus College","Glendora",917401885,"1000 West Foothill Blvd","United States","California","CA",8189148772,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601",601,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10135,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103860,"Jeremy","Taylor","11/25/1970","Principal Investigator","University of La Verne","La Verne",917504401,"1950 3rd Street","United States","California","CA",9095933511,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602",602,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10203,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103862,"Jeremy","Taylor","11/25/1970","Principal Investigator","Mount San Jacinto College","San Jacinto",925832325,"21 400 Highway 79","United States","California","CA",7146548011,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",603,"1970 Institutional Grants For Science","11/25/1970","09/30/1971",37890,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","12/31/1973",7103888,"-.","None","11/25/1970","Principal Investigator","Indiana University","Bloomington",474013654,"509 E 3RD ST","United States","Indiana","IN",8128550516,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604",604,"1970 Institutional Grants For Science","11/25/1970","10/31/1977",3674,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","12/03/1971",7103889,"-.","None","11/25/1970","Principal Investigator","St Mary's College","Notre Dame",465565001,"132 Le Mans Hall","United States","Indiana","IN",5742844856,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",605,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103891,"Jeremy","Taylor","11/25/1970","Principal Investigator","Emporia State University","Emporia",668015415,"1 Kellogg Circle","United States","Kansas","KS",6203415351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",606,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103894,"Jeremy","Taylor","11/25/1970","Principal Investigator","Georgetown College","Georgetown",403241628,"400 East College Street","United States","Kentucky","KY",5028638037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",607,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10923,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103896,"Jeremy","Taylor","11/25/1970","Principal Investigator","Transylvania University","Lexington",405081797,"300 North Broadway","United States","Kentucky","KY",8592338300,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",608,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103912,"Jeremy","Taylor","11/25/1970","Principal Investigator","Shaw College at Detroit","Detroit",482023121,"7351 Woodward Avenue","United States","Michigan","MI",3138737920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609",609,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10293,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103917,"Jeremy","Taylor","11/25/1970","Principal Investigator","Millsaps College","Jackson",392100000,"1701 North State Street","United States","Mississippi","MS",6019741010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",610,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10315,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103918,"Jeremy","Taylor","11/25/1970","Principal Investigator","Mississippi Valley State University","Itta Bena",389411400,"14000 Highway 82 W","United States","Mississippi","MS",6622543425,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611",611,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",6000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103922,"Jeremy","Taylor","11/25/1970","Principal Investigator","Montana State University - Billings","Billings",591010000,"1500 University Drive","United States","Montana","MT",4066572046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",612,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10135,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103932,"Ronald","DATA NOT AVAILABLE","11/25/1970","Co-Principal Investigator","College of Pharmaceutical Science","New York",10023,NA,"United States","New York","NY",NA,NA,NA,"Edmund","Myers","11/25/1970","Co-Principal Investigator","Joyce","11/25/1970","Co-Principal Investigator",NA,".",NA,"None","11/25/1970","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",613,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/25/1970","11/25/1970",7103933,"Jeremy","Taylor","11/25/1970","Principal Investigator","CUNY New York City College of Technology","Brooklyn",112012902,"300 Jay Street","United States","New York","NY",7182605603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",614,"1970 Institutional Grants For Science","11/25/1970","10/31/1971",24322,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","12/31/1973",7103934,".","None","11/25/1970","Principal Investigator","CUNY College of Staten Island","Staten Island",103146609,"2800 Victory Boulevard","United States","New York","NY",7189822254,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615",615,"1970 Institutional Grants For Science","11/25/1970","10/31/1971",4250,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/25/1970","12/31/1973",7103935,".","None","11/25/1970","Principal Investigator","CUNY College of Staten Island","Staten Island",103146609,"2800 Victory Boulevard","United States","New York","NY",7189822254,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",616,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103937,"Jeremy","Taylor","11/25/1970","Principal Investigator","D'Youville College","Buffalo",142011032,"320 Porter Avenue","United States","New York","NY",7168298000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",617,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/25/1970","11/25/1970",7103942,"Jeremy","Taylor","11/25/1970","Principal Investigator","Niagara University","niagara university",141092015,"Office of the President","United States","New York","NY",7162851212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",618,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",17293,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/25/1970","11/25/1970",7103946,"Jeremy","Taylor","11/25/1970","Principal Investigator","SUNY College of Technology Delhi","Delhi",137531190,"454 Delhi Drive","United States","New York","NY",6077464582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",619,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103948,"Jeremy","Taylor","11/25/1970","Principal Investigator","Jamestown Community College","Jamestown",147010020,"525 Falconer Street","United States","New York","NY",7163381060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",620,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103950,"Jeremy","Taylor","11/25/1970","Principal Investigator","SUNY Orange County Community College","Middletown",109406441,"115 South Street","United States","New York","NY",9143431121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",621,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103951,"Jeremy","Taylor","11/25/1970","Principal Investigator","Johnson C. Smith University","Charlotte",282165302,"100 Beatties Ford Rd","United States","North Carolina","NC",7043781006,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",622,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103957,"Jeremy","Taylor","11/25/1970","Principal Investigator","Oklahoma Panhandle State University","Goodwell",739390430,"BOX 430","United States","Oklahoma","OK",4053492611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623",623,"1970 Institutional Grants For Science","11/25/1970","10/31/1971",13977,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","12/15/1972",7103958,"Jeremy","Taylor","11/25/1970","Principal Investigator","Southeastern Oklahoma State University","Durant",747010609,"1405 N. 4th, PMB 4236","United States","Oklahoma","OK",5807452500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",624,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10630,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103963,"Jeremy","Taylor","11/25/1970","Principal Investigator","Dropsie University","Merion Station",190661706,"250 N Highland Avenue","United States","Pennsylvania","PA",2156671830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625",625,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103965,"Jeremy","Taylor","11/25/1970","Principal Investigator","King's College","Wilkes-Barre",187110800,"133 North River Street","United States","Pennsylvania","PA",5702085900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",626,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",10045,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/25/1970","11/25/1970",7103968,"Jeremy","Taylor","11/25/1970","Principal Investigator","West Chester University of Pennsylvania","West Chester",193830001,"South High Street","United States","Pennsylvania","PA",6104363060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",627,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103972,"Jeremy","Taylor","11/25/1970","Principal Investigator","Coker College","Hartsville",295503797,"East College Avenue","United States","South Carolina","SC",8433838000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",628,"1970 Institutional Grants For Science","11/25/1970","11/30/1971",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/25/1970","11/25/1970",7103974,"Jeremy","Taylor","11/25/1970","Principal Investigator","Erskine College","Due West",296390306,"Two Washington Street","United States","South Carolina","SC",8643792131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
